customer_segment,brand,sum_amount,count,rnk
Budget Shopper,Nike,18763179.41,6771,1
Budget Shopper,Puma,18196764.68,6593,2
Budget Shopper,LG,18065115.48,6579,3
Churn Risk,LG,18644906.32,6720,1
Churn Risk,Nike,18627929.49,6767,2
Churn Risk,Samsung,18483644.09,6717,3
Deal Seeker,Puma,18900880.92,6822,1
Deal Seeker,Adidas,18705411.06,6725,2
Deal Seeker,LG,18681430.1,6742,3
First-time Buyer,LG,18514670.83,6692,1
First-time Buyer,Nike,18504034.5,6728,2
First-time Buyer,Samsung,18357328.54,6704,3
High Value,Puma,18684546.37,6785,1
High Value,Nike,18498265.56,6666,2
High Value,LG,18472546.98,6691,3
In-Store Regular,Nike,18501915.02,6754,1
In-Store Regular,Samsung,18413512.88,6725,2
In-Store Regular,Puma,18215875.47,6641,3
Loyal Customer,Adidas,18604154.5,6742,1
Loyal Customer,Nike,18567030.71,6766,2
Loyal Customer,Samsung,18520481.59,6656,3
Occasional Shopper,Samsung,18964115.91,6860,1
Occasional Shopper,Puma,18747335.15,6791,2
Occasional Shopper,Adidas,18685077.25,6722,3
Online Shopper,Samsung,18821118.15,6763,1
Online Shopper,LG,18342144.77,6697,2
Online Shopper,Nike,18295518.97,6590,3
Premium Shopper,LG,18737529.03,6746,1
Premium Shopper,Samsung,18406527.28,6668,2
Premium Shopper,Nike,18335389.77,6578,3
