category,brand,sum_amount,count,avg_amount
Sports & Outdoors,Nike,92929585.99,33713,2756.49
Sports & Outdoors,Reebok,92687658.46,33648,2754.63
Electronics,Panasonic,92502827.11,33485,2762.52
Electronics,Samsung,92496701.86,33522,2759.28
Furniture,Home Centre,92490665.49,33478,2762.73
Sports & Outdoors,Puma,92406758.58,33615,2748.97
Clothing,Levi's,92346856.97,33566,2751.2
Clothing,Nike,92337583.26,33462,2759.48
Furniture,IKEA,92237873.85,33561,2748.36
Sports & Outdoors,Adidas,92027980.76,33317,2762.19
