campaign_name,sum_amount,count,avg_amount
Winter Clearance Carnival,55662612.16,20098,2769.56
New Arrival Showcase,55455654.55,20065,2763.8
Seasonal Surprise Box,55421278.03,20162,2748.8
Shop & Save Spectacular,55407649.48,19984,2772.6
Autumn Deals Drive,55383943.22,20207,2740.83
Spring Refresh Event,55361057.89,19985,2770.13
Customer Appreciation Week,55269058.81,20112,2748.06
Limited Time Treasures,55268796.16,20118,2747.23
VIP Access Sale,55246733.56,20093,2749.55
Countdown to Savings,55235701.93,20137,2743
Hot Picks Promo,55230458.01,20058,2753.54
Winter Wonders Sale,55218818.08,20193,2734.55
Flash Frenzy Friday,55211583.63,20065,2751.64
Final Call Frenzy,55207412.84,20061,2751.98
New Year Kickoff,55204697.53,20039,2754.86
