salesperson_role,campaign_name,sum_amount,count,avg_amount
Sales Associate,Winter Clearance Carnival,15113466.11,5462,2767.02
Sales Associate,Autumn Deals Drive,15063693.33,5482,2747.85
Sales Associate,Early Bird Specials,14862725.98,5375,2765.16
Sales Associate,Clearance Countdown,14845031.55,5378,2760.33
Sales Associate,New Arrival Showcase,14718304.43,5310,2771.81
Sales Associate,Mystery Discount Days,14704506.9,5336,2755.72
Sales Associate,Ultimate Value Event,14698290.75,5320,2762.84
Sales Associate,Super Savings Week,14663463.04,5260,2787.73
Sales Associate,Flash Frenzy Friday,14646795.11,5317,2754.71
Salesperson,Shop & Save Spectacular,14637884.91,5296,2763.95
Sales Associate,"Gift More, Spend Less",14632557.08,5274,2774.47
Salesperson,New Year Kickoff,14626576.06,5274,2773.34
Salesperson,12 Days of Deals,14622123.73,5318,2749.55
Sales Associate,Final Call Frenzy,14609209.65,5290,2761.67
Sales Associate,Midnight Madness,14603515.85,5310,2750.19
Sales Associate,Seasonal Surprise Box,14595380.79,5299,2754.37
Sales Associate,Cashback Carnival,14583144.12,5316,2743.26
Sales Associate,Summer Sizzle Promo,14580698.04,5285,2758.88
Sales Associate,Spring Splash Discounts,14569646.49,5315,2741.23
Salesperson,BOGO Blitz,14567191.46,5264,2767.32
